mode,trial,n_ablated,clean_acc,adv_acc
random,2,36,0.7750791974656811,0.09477707006369426
random,2,38,0.7750791974656811,0.09477707006369426
random,2,40,0.7750791974656811,0.09477707006369426
random,2,42,0.7761351636747624,0.09477707006369426
random,2,44,0.7771911298838438,0.09503184713375797
random,2,46,0.778247096092925,0.09554140127388536
random,2,48,0.7845828933474129,0.09503184713375797
random,2,50,0.7835269271383316,0.09477707006369426
random,2,52,0.7824709609292503,0.09503184713375797
random,2,54,0.7824709609292503,0.09503184713375797
random,2,56,0.7835269271383316,0.09503184713375797
random,2,58,0.7835269271383316,0.09554140127388536
random,2,60,0.7835269271383316,0.09554140127388536
random,2,62,0.781414994720169,0.09503184713375797
random,2,64,0.7803590285110876,0.09503184713375797
random,2,66,0.7803590285110876,0.09503184713375797
random,2,68,0.7824709609292503,0.09503184713375797
random,2,70,0.781414994720169,0.09477707006369426
random,2,72,0.7824709609292503,0.09477707006369426
random,2,74,0.7824709609292503,0.09477707006369426
random,2,76,0.781414994720169,0.09477707006369426
random,2,78,0.781414994720169,0.09477707006369426
random,2,80,0.7824709609292503,0.09477707006369426
random,3,0,0.778247096092925,0.09477707006369426
random,3,2,0.778247096092925,0.09477707006369426
random,3,4,0.778247096092925,0.09477707006369426
random,3,6,0.778247096092925,0.09477707006369426
random,3,8,0.7824709609292503,0.09477707006369426
random,3,10,0.781414994720169,0.09477707006369426
random,3,12,0.781414994720169,0.09477707006369426
random,3,14,0.7835269271383316,0.09477707006369426
random,3,16,0.7835269271383316,0.09477707006369426
random,3,18,0.7793030623020063,0.09477707006369426
random,3,20,0.7793030623020063,0.09477707006369426
random,3,22,0.778247096092925,0.09477707006369426
random,3,24,0.7793030623020063,0.09477707006369426
random,3,26,0.7793030623020063,0.09477707006369426
random,3,28,0.7793030623020063,0.09477707006369426
random,3,30,0.7835269271383316,0.09528662420382165
random,3,32,0.7835269271383316,0.09528662420382165
random,3,34,0.781414994720169,0.09630573248407644
random,3,36,0.7824709609292503,0.09630573248407644
random,3,38,0.781414994720169,0.09579617834394905
random,3,40,0.7866948257655755,0.09630573248407644
random,3,42,0.7866948257655755,0.09630573248407644
random,3,44,0.7866948257655755,0.09630573248407644
random,3,46,0.7888067581837381,0.09554140127388536
random,3,48,0.7898627243928195,0.09579617834394905
random,3,50,0.7909186906019008,0.09579617834394905
random,3,52,0.7909186906019008,0.09579617834394905
random,3,54,0.7877507919746568,0.09554140127388536
random,3,56,0.7877507919746568,0.09554140127388536
random,3,58,0.7877507919746568,0.09554140127388536
random,3,60,0.7877507919746568,0.09554140127388536
random,3,62,0.7877507919746568,0.09554140127388536
random,3,64,0.7877507919746568,0.09554140127388536
random,3,66,0.7877507919746568,0.09554140127388536
random,3,68,0.7888067581837381,0.09554140127388536
random,3,70,0.7824709609292503,0.09554140127388536
random,3,72,0.7824709609292503,0.09579617834394905
random,3,74,0.7835269271383316,0.09554140127388536
random,3,76,0.7835269271383316,0.09554140127388536
random,3,78,0.7803590285110876,0.09528662420382165
random,3,80,0.7803590285110876,0.09528662420382165
random,4,0,0.778247096092925,0.09477707006369426
random,4,2,0.7761351636747624,0.09477707006369426
random,4,4,0.778247096092925,0.09477707006369426
random,4,6,0.7771911298838438,0.09477707006369426
random,4,8,0.7761351636747624,0.09477707006369426
random,4,10,0.7761351636747624,0.09477707006369426
random,4,12,0.7740232312565998,0.09452229299363057
random,4,14,0.7761351636747624,0.09452229299363057
random,4,16,0.778247096092925,0.09452229299363057
random,4,18,0.778247096092925,0.09452229299363057
random,4,20,0.778247096092925,0.09452229299363057
random,4,22,0.778247096092925,0.09452229299363057
random,4,24,0.7793030623020063,0.09477707006369426
random,4,26,0.7793030623020063,0.09477707006369426
random,4,28,0.7793030623020063,0.09477707006369426
random,4,30,0.7771911298838438,0.09477707006369426
random,4,32,0.7793030623020063,0.09477707006369426
random,4,34,0.7793030623020063,0.09452229299363057
random,4,36,0.7793030623020063,0.09452229299363057
random,4,38,0.7793030623020063,0.09452229299363057
random,4,40,0.7771911298838438,0.09452229299363057
random,4,42,0.7824709609292503,0.09452229299363057
random,4,44,0.781414994720169,0.09452229299363057
random,4,46,0.7845828933474129,0.09452229299363057
random,4,48,0.7835269271383316,0.09452229299363057
random,4,50,0.7845828933474129,0.09452229299363057
random,4,52,0.7845828933474129,0.09452229299363057
random,4,54,0.7845828933474129,0.09452229299363057
random,4,56,0.7845828933474129,0.09452229299363057
random,4,58,0.7835269271383316,0.09503184713375797
random,4,60,0.781414994720169,0.09503184713375797
random,4,62,0.781414994720169,0.09503184713375797
random,4,64,0.7835269271383316,0.09503184713375797
random,4,66,0.7824709609292503,0.09477707006369426
random,4,68,0.7824709609292503,0.09477707006369426
random,4,70,0.7835269271383316,0.09477707006369426
random,4,72,0.7835269271383316,0.09477707006369426
random,4,74,0.7835269271383316,0.09477707006369426
random,4,76,0.7845828933474129,0.09477707006369426
random,4,78,0.7835269271383316,0.09477707006369426
random,4,80,0.7835269271383316,0.09477707006369426
random,5,0,0.778247096092925,0.09477707006369426
random,5,2,0.7793030623020063,0.09477707006369426
random,5,4,0.7793030623020063,0.09477707006369426
random,5,6,0.778247096092925,0.09477707006369426
random,5,8,0.7803590285110876,0.09477707006369426
random,5,10,0.7803590285110876,0.09477707006369426
random,5,12,0.7793030623020063,0.09477707006369426
random,5,14,0.7793030623020063,0.09477707006369426
random,5,16,0.781414994720169,0.09477707006369426
random,5,18,0.7793030623020063,0.09477707006369426
random,5,20,0.7793030623020063,0.09503184713375797
random,5,22,0.7793030623020063,0.09503184713375797
random,5,24,0.7803590285110876,0.09503184713375797
random,5,26,0.7793030623020063,0.09503184713375797
random,5,28,0.778247096092925,0.09477707006369426
random,5,30,0.7793030623020063,0.09477707006369426
random,5,32,0.7793030623020063,0.09477707006369426
random,5,34,0.778247096092925,0.09477707006369426
random,5,36,0.778247096092925,0.09477707006369426
random,5,38,0.778247096092925,0.09477707006369426
